20170421-09:28:23,10.0207841396,218260,217865,1890,225,275,1990
20170421-09:28:33,10.0251550674,169085,168430,1915,240,235,1990
20170421-09:28:43,10.0255110264,129260,128145,1910,245,240,2010
20170421-09:28:53,10.0271260738,118475,116440,1890,245,265,1950
20170421-09:29:03,10.0185730457,0.0,0.0,0.0,0.0,0.0,0.0
20170421-09:29:13,10.0104188919,0.0,0.0,0.0,0.0,0.0,0.0
20170421-09:29:23,10.0233621597,127070,124875,3100,1825,295,2000
20170421-09:29:33,10.0256340504,128935,126755,4095,2005,265,2015
20170421-09:29:43,10.0257949829,130460,128285,5625,3940,280,1970
20170421-09:29:53,10.0266051292,131155,129040,5695,3970,300,2015
20170421-09:30:03,10.0247070789,131650,129520,5690,3975,265,2000
20170421-09:30:13,10.0261788368,132185,130020,5720,3955,275,2005
20170421-09:30:23,10.0259649754,132380,130250,5680,3980,275,2000
20170421-09:30:33,10.0265519619,132295,130190,5680,3965,240,1990
20170421-09:30:43,10.02354002,131890,129775,5655,3980,260,1965
20170421-09:30:53,10.0252141953,131760,129615,5675,4015,245,2000
20170421-09:31:03,10.0185217857,0.0,0.0,0.0,0.0,0.0,0.0
20170421-09:31:13,10.0103549957,0.0,0.0,0.0,0.0,0.0,0.0
20170421-09:31:23,10.0201098919,131510,129380,5685,4005,285,2030
20170421-09:31:33,10.0250220299,131725,129610,5660,4020,275,1990
20170421-09:31:43,10.0223639011,131440,129335,5665,4015,225,2020
20170421-09:31:53,10.020179987,130825,128640,5665,3955,265,1975
20170421-09:32:04,10.0248920918,128490,126465,5660,3985,250,2015
20170421-09:32:14,10.0233530998,125615,123345,5705,4010,260,1965
20170421-09:32:24,10.0246551037,123000,120870,5705,3980,225,1995
20170421-09:32:34,10.0233547688,122315,120210,5730,3975,245,1960
20170421-09:32:44,10.0256659985,122485,120415,5650,4000,250,2000
20170421-09:32:54,10.0247740746,122540,120495,5665,3975,305,1950
20170421-09:33:04,10.0189650059,0.0,0.0,0.0,0.0,0.0,0.0
20170421-09:33:46,15.0218908787,119425,117325,5720,0.0,250,2000
20170421-09:34:01,15.0229449272,117785,115550,154100,0.0,245,2010
20170421-09:34:16,15.0213479996,116615,114540,131135,0.0,225,1995
20170421-09:34:31,15.0222430229,116430,114310,126465,0.0,270,1975
20170421-09:35:17,15.0245919228,114115,112075,112360,110205,310,2000
20170421-09:35:32,15.0293169022,113420,111450,111325,109150,280,1985
20170421-09:35:47,15.0239849091,112460,110450,110150,107930,295,2000
20170421-09:36:02,15.02374506,112595,110490,108770,106550,235,1975
20170421-09:36:17,15.030479908,112275,110155,107670,105475,295,1975
20170421-09:36:32,15.0307459831,112380,110310,106660,104485,245,2010
20170421-09:36:47,15.0260181427,112045,109935,105545,103380,265,2060
20170421-09:37:02,15.02303195,110990,108810,104575,102405,211780,217100
20170421-09:37:17,15.0294430256,110390,108355,104050,101875,213695,217400
20170421-09:37:32,15.0259242058,110300,108180,103320,101190,201415,205050
20170421-09:37:47,15.0298058987,110070,108005,102600,100455,196370,199840
20170421-09:38:02,15.0232000351,110035,107960,102310,100200,191880,195315
20170421-09:38:17,15.0284819603,109645,107580,102190,100095,187925,191400
20170421-09:38:32,15.0287008286,108660,106605,101685,99630,185975,189340
20170421-09:39:03,10.0158810616,108570,106520,101530,99345,184010,187350
20170421-09:39:13,10.0180199146,108550,106480,101585,99400,182480,186210
20170421-09:39:23,10.0244719982,108505,106440,101535,99370,182805,185945
20170421-09:39:33,10.0273039341,108430,106355,101665,99570,181185,184430
20170421-09:39:43,10.0263631344,107985,105915,101425,99300,181245,184625
20170421-09:39:53,10.0187110901,107840,105760,101550,99445,181225,184640
20170421-09:40:03,10.0241341591,107255,105235,101480,99325,180880,184220
20170421-09:40:13,10.0244581699,107340,105295,101430,99280,180650,183965
20170421-09:40:23,10.0241069794,107305,105305,101285,99185,181205,184260
20170421-09:40:34,10.0261161327,107050,104990,101305,99155,181155,184540
20170421-09:40:44,10.0253789425,107030,104990,101295,99175,180800,184060
20170421-09:40:54,10.0205581188,107100,105015,101490,99370,180275,183620
20170421-09:41:04,10.0159659386,107020,104965,101335,99195,179855,183110
20170421-09:41:14,10.018501997,106615,104450,101400,99245,179725,183020
20170421-09:41:24,10.0260930061,106395,104345,101300,99150,179680,182955
20170421-09:41:34,10.0236299038,106505,104420,101020,98905,179065,182450
20170421-09:41:44,10.0255191326,106105,104095,101040,98880,178860,182105
20170421-09:41:54,10.0250811577,105950,103875,100945,98820,178375,181635
20170421-09:42:04,10.0264980793,105800,103740,100880,98830,178400,181655
20170421-09:42:14,10.0250790119,105755,103670,100770,98620,178645,181975
20170421-09:42:24,10.026113987,105960,103890,100965,98890,178655,181950
20170421-09:42:34,10.0253529549,105695,103640,100630,98560,178625,181850
20170421-09:42:44,10.0249941349,105650,103605,100465,98265,178075,181370
20170421-09:42:54,10.020824194,105430,103400,100350,98280,178090,181435
20170421-09:43:04,10.0177648067,105230,103170,100160,98020,177835,181170
20170421-09:43:14,10.0175609589,104835,102750,100065,97970,178295,181600
20170421-09:43:24,10.0243229866,104685,102630,100100,98010,178100,181405
20170421-09:43:34,10.0240061283,104835,102780,99990,97855,178225,181520
20170421-09:43:44,10.0241451263,104545,102520,100115,97965,178310,181645
20170421-09:43:54,10.0260810852,104370,102325,99755,97655,178370,181750
20170421-09:44:04,10.0249519348,104260,102285,99565,97405,177240,180600
20170421-09:44:14,10.0263690948,104415,102400,99700,97645,177025,180385
20170421-09:44:24,10.0235738754,104310,102270,99710,97660,177455,180880
20170421-09:44:34,10.0260100365,104245,102245,99420,97385,177805,181095
20170421-09:44:44,10.0272758007,103980,101915,99435,97280,177890,181225
20170421-09:44:54,10.021613121,103830,101790,99640,97535,178060,181380
20170421-09:45:04,10.0177800655,103570,101550,99360,97170,178075,181365
20170421-09:45:14,10.0217280388,103745,101720,99325,97225,177825,181160
20170421-09:45:24,10.0257461071,104115,102065,99375,97305,177225,180535
20170421-09:45:34,10.026072979,104055,102005,99170,97055,177060,180460
20170421-09:45:44,10.0208148956,103705,101630,99045,96930,176970,180300
20170421-09:45:54,10.0159900188,103450,101405,99225,97125,176445,179725
20170421-09:46:04,10.0252988338,103330,101275,98965,96930,176635,180040
20170421-09:46:14,10.0250971317,103535,101450,99055,96945,176795,180135
20170421-09:46:24,10.0254421234,103275,101170,99055,96945,176520,179805
20170421-09:46:34,10.0250861645,103155,101050,99120,96960,176615,179900
20170421-09:46:44,10.0252258778,103120,101080,98910,96800,176145,179490
20170421-09:46:54,10.0262269974,103180,101120,98825,96690,176105,179205
20170421-09:47:04,10.0111498833,103090,101080,98895,96785,176170,179425
20170421-09:47:14,10.0187449455,103100,101010,98765,96645,176310,179600
20170421-09:47:24,10.0264971256,102670,100675,98535,96460,175825,179100
