20170421-15:51:39,10.0172338486,1095,0,0,4095
20170421-15:52:19,10.0195310116,1050,0,0,4110,0
20170421-15:52:29,10.0228271484,1070,0,0,4080,0
20170421-15:52:39,10.0229139328,1090,0,0,4120,0
20170421-15:52:49,10.0222349167,1065,0,0,4100,0
20170421-15:52:59,10.0247628689,1085,0,0,4100,0
20170421-15:53:09,10.0237491131,1105,0,0,4140,0
20170421-15:53:19,10.0231530666,1090,0,1065,4125,0
20170421-15:53:29,10.0218179226,1040,0,3495,4125,0
20170421-15:53:39,10.0219619274,1070,0,3460,4060,0
20170421-15:53:49,10.0223448277,1070,0,3445,4095,0
20170421-15:53:59,10.0227999687,1100,0,3425,4085,0
20170421-15:54:09,10.0172479153,1050,0,3405,4075,5565
20170421-15:54:19,10.0176930428,1085,0,3385,4070,11175
20170421-15:54:29,10.0234889984,1080,0,3395,4110,11180
20170421-15:54:39,10.0225689411,1075,0,3380,4085,11150
20170421-15:54:49,10.0227198601,1065,0,3360,4075,11145
20170421-15:54:59,10.0236749649,1095,0,3295,4075,11140
20170421-15:55:09,10.0203061104,1080,0,3330,4100,11105
20170421-15:55:19,10.022110939,1060,0,3355,4105,11075
20170421-15:55:29,10.0233139992,1055,0,3290,4045,11090
20170421-15:55:39,10.0229330063,1120,0,3300,4075,11090
20170421-15:55:49,10.0245699883,1085,0,3310,1970,11045
20170421-15:55:59,10.0233690739,1075,0,3270,3995,11010
20170421-15:56:09,10.0169289112,1085,0,3315,3915,10990
20170421-15:56:19,10.0181190968,1080,0,3285,272100,10950
20170421-15:56:29,10.0233089924,1095,0,3250,329615,10990
20170421-15:56:39,10.0177969933,1045,0,3265,304605,10945
20170421-15:56:49,10.0211820602,1080,0,3295,346095,10940
20170421-15:56:59,10.0227129459,1080,0,3255,345745,10930
20170421-15:57:09,10.023444891,1095,0,3255,348205,10915
20170421-15:57:20,10.0236270428,1095,0,3255,348765,10925
20170421-15:57:30,10.0236349106,1100,0,3240,348200,5900
20170421-15:57:40,10.0236458778,1135,0,3235,361985,5895
20170421-15:57:50,10.0223059654,1090,0,3225,362880,5840
20170421-15:58:00,10.0225908756,1075,0,3180,369745,5875
20170421-15:58:10,10.0175201893,1050,0,3240,374435,5845
20170421-15:58:20,10.020815134,1065,0,3185,378705,5835
20170421-15:58:30,10.0310618877,1080,0,3170,359110,5805
20170421-15:58:40,10.029640913,1075,0,3165,382660,5825
20170421-15:58:50,10.0327339172,1075,0,3185,382820,5790
20170421-15:59:00,10.0306060314,1090,0,3200,384060,5825
20170421-15:59:10,10.0258488655,1105,0,3205,384410,5785
20170421-15:59:20,10.0316429138,1100,0,3205,384125,5700
20170421-15:59:30,10.0323219299,1060,0,3165,384165,5675
20170421-15:59:40,10.0322699547,1075,0,3155,383860,5695
20170421-15:59:50,10.0324277878,1085,0,3185,384345,5670
20170421-16:00:00,10.0316150188,1085,0,3175,390335,5690
20170421-16:00:10,10.0250120163,1065,0,3165,386270,5660
20170421-16:00:20,10.0233478546,1085,0,3200,24920,5750
20170421-16:00:30,10.0270700455,1100,0,3205,4125,5775
20170421-16:00:40,10.0309450626,1125,0,3205,4265,5745
20170421-16:00:50,10.0260329247,1070,0,3180,4020,5715
20170421-16:01:00,10.0322999954,1085,0,3190,4200,5725
20170421-16:01:10,10.0328118801,1060,0,3230,4070,5760
20170421-16:01:20,10.0333848,1055,0,3165,4075,5730
20170421-16:01:30,10.03292799,1085,0,3190,3900,5710
20170421-16:01:40,10.0321538448,1100,0,3190,3940,5740
20170421-16:01:50,10.0307018757,1100,5265,3205,3915,5735
20170421-16:02:00,10.0313999653,1085,5440,3155,3900,5725
20170421-16:02:10,10.0253388882,1080,5425,3180,4085,5770
20170421-16:02:20,10.0255331993,1075,5355,3200,4050,5755
20170421-16:02:30,10.0310730934,1080,5375,3200,4070,5725
20170421-16:02:40,10.0297420025,1090,5380,3190,4055,5735
20170421-16:02:50,10.0321600437,1105,5330,3165,4085,5745
20170421-16:03:00,10.0307838917,1040,5335,3165,4080,5735
20170421-16:03:11,10.0263910294,1075,5355,3175,4075,5715
20170421-16:03:21,10.0321340561,1110,5350,3200,4105,5750
20170421-16:03:31,10.0322418213,1070,5315,3135,4090,5775
20170421-16:03:41,10.0322709084,1075,5565,3140,4055,5740
20170421-16:03:51,10.0315079689,1115,5355,3150,4050,5730
20170421-16:04:01,10.032184124,1090,5335,3165,4090,5715
20170421-16:04:11,10.0266029835,0.0,0.0,0.0,0.0,0.0
20170421-16:04:21,10.0103399754,0.0,0.0,0.0,0.0,0.0
20170421-16:04:31,10.0103418827,0.0,0.0,0.0,0.0,0.0
20170421-16:04:41,10.0322389603,1070,5320,3165,3795,5710
20170421-16:04:51,10.0253531933,1060,5295,3090,302060,5690
20170421-16:05:01,10.028949976,1055,5320,3095,295025,5685
20170421-16:05:11,10.0335690975,1075,5320,3085,291565,5680
20170421-16:05:21,10.0327489376,1075,5340,3100,343320,5675
20170421-16:05:31,10.0285830498,1085,5380,3105,351950,5690
20170421-16:05:41,10.0308959484,1120,5315,3100,358060,5685
20170421-16:05:51,10.0330190659,1075,5315,3070,362400,5720
20170421-16:06:01,10.0284318924,1055,5360,3090,364405,5695
20170421-16:06:11,10.0245649815,1105,5355,3105,364555,5680
20170421-16:06:21,10.0276908875,1085,5315,3045,368405,5715
20170421-16:06:31,10.0340950489,1065,5365,3065,361310,5645
20170421-16:06:41,10.0322849751,1050,5355,350,376645,5710
20170421-16:06:51,10.0299720764,1070,5345,295,382695,5700
20170421-16:07:01,10.0308640003,1090,5360,310,384060,5670
20170421-16:07:11,10.0292389393,1090,5370,265,388720,5670
20170421-16:07:21,10.0314481258,1085,5335,300,387525,5735
20170421-16:07:31,10.0323419571,1075,5335,280,393805,5700
20170421-16:07:41,10.0327599049,1045,5360,280,385590,5730
20170421-16:07:51,10.0335018635,1065,5305,270,386370,5690
20170421-16:08:01,10.0198690891,1075,5335,2995,372135,5665
20170421-16:08:11,10.0239591599,1100,5330,315,393185,5710
20170421-16:08:21,10.0270910263,1055,5340,265,390295,5705
20170421-16:08:31,10.0291531086,1075,5345,280,391130,5705
20170421-16:08:41,10.0304870605,1105,5335,285,390930,5665
20170421-16:08:51,10.0325341225,1075,5370,320,389355,5685
20170421-16:09:02,10.0326149464,1055,5335,285,389650,5730
20170421-16:09:12,10.0321650505,1105,5285,310,382110,5620
20170421-16:09:22,10.032006979,1055,5540,110,385900,5640
20170421-16:09:32,10.033454895,1070,5315,0,383315,5640
20170421-16:09:42,10.0291781425,1075,0.0,0,385510,0.0
